message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.184889, y=5.544445])";"30";"turtlesim3.sim";"1727944623.873334041";"/home/vadik/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.184889, y=5.544445])";"30";"turtlesim3.sim";"1727944623.856910234";"/home/vadik/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.184889, y=5.544445])";"30";"turtlesim3.sim";"1727944623.841411714";"/home/vadik/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.184889, y=5.544445])";"30";"turtlesim2.sim";"1727944623.839393991";"/home/vadik/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.184889, y=5.544445])";"30";"turtlesim1.sim";"1727944623.834282840";"/home/vadik/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.184889, y=5.544445])";"30";"turtlesim3.sim";"1727944623.825077738";"/home/vadik/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.184889, y=5.544445])";"30";"turtlesim2.sim";"1727944623.823012751";"/home/vadik/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.184889, y=5.544445])";"30";"turtlesim1.sim";"1727944623.818852091";"/home/vadik/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.184889, y=5.544445])";"30";"turtlesim3.sim";"1727944623.809658269";"/home/vadik/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.184889, y=5.544445])";"30";"turtlesim2.sim";"1727944623.807530199";"/home/vadik/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.184889, y=5.544445])";"30";"turtlesim1.sim";"1727944623.802460161";"/home/vadik/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112445, y=5.544445])";"30";"turtlesim3.sim";"1727944623.792774900";"/home/vadik/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.184889, y=5.544445])";"30";"turtlesim2.sim";"1727944623.790979124";"/home/vadik/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.184889, y=5.544445])";"30";"turtlesim2.sim";"1727944623.774660526";"/home/vadik/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.184889, y=5.544445])";"30";"turtlesim1.sim";"1727944623.770373260";"/home/vadik/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112445, y=5.544445])";"30";"turtlesim2.sim";"1727944623.758760577";"/home/vadik/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112445, y=5.544445])";"30";"turtlesim1.sim";"1727944623.755145615";"/home/vadik/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
